City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
109,Kavaratti,IN,10.5669,72.642,78.08,68,35,10.85,scattered clouds
110,Ruwi,OM,23.5996,58.5507,71.29,56,0,11.3,clear sky
111,Boma,GH,7.0805,-2.1697,84.25,37,82,1.97,broken clouds
112,Pringsewu,ID,-5.3582,104.9744,71.94,97,100,1.45,light rain
113,Tiznit,MA,29.5833,-9.5,62.82,41,6,2.33,clear sky
114,Puerto Ayora,EC,-0.7393,-90.3518,82.36,84,53,8.01,broken clouds
115,Geraldton,AU,-28.7667,114.6,70.21,56,100,12.66,overcast clouds
116,Dakar,SN,14.6937,-17.4441,79.68,78,0,11.5,clear sky
117,Fortuna,US,40.5982,-124.1573,62.92,63,0,1.01,clear sky
118,Pontes E Lacerda,BR,-15.2261,-59.3353,80.44,75,97,7.61,overcast clouds
119,Ambon,ID,-3.6954,128.1814,75.34,94,40,5.75,scattered clouds
120,Hasaki,JP,35.7333,140.8333,25.2,43,1,21.45,clear sky
121,Port Hardy,CA,50.6996,-127.4199,46.76,76,100,17.27,overcast clouds
122,Hobart,AU,-42.8794,147.3294,53.06,87,20,9.22,few clouds
123,Kouango,CF,4.9934,19.9619,79.83,21,13,1.59,few clouds
124,Launceston,AU,-41.45,147.1667,56.84,76,100,5.75,overcast clouds
125,Saint-Vallier,FR,46.6411,4.3711,47.12,92,100,12.8,overcast clouds
126,Monrovia,LR,6.3005,-10.7969,80.37,81,5,9.28,clear sky
127,Alice Springs,AU,-23.7,133.8833,58.55,94,0,6.91,clear sky
128,Guerrero Negro,MX,27.9769,-114.0611,67.95,24,0,6.96,clear sky
129,Vestmannaeyjar,IS,63.4427,-20.2734,35.94,56,100,18.07,overcast clouds
130,Rawson,AR,-43.3002,-65.1023,75.43,34,6,15.93,clear sky
131,Ribeira Grande,PT,38.5167,-28.7,63.0,77,75,9.22,broken clouds
132,Camacha,PT,33.0833,-16.3333,58.53,63,40,17.27,scattered clouds
133,Roald,NO,62.5833,6.1333,39.9,81,75,13.8,broken clouds
134,Nisia Floresta,BR,-6.0911,-35.2086,86.81,63,4,11.7,clear sky
135,Deputatskiy,RU,69.3,139.9,-34.76,98,78,5.35,broken clouds
136,Lhokseumawe,ID,5.1801,97.1507,76.05,88,100,6.08,light rain
137,Chokurdakh,RU,70.6333,147.9167,-39.57,100,91,2.21,overcast clouds
138,Buta,CD,2.7858,24.73,72.63,30,56,2.59,broken clouds
139,Salinopolis,BR,-0.6136,-47.3561,78.98,87,100,8.3,moderate rain
140,Santa Maria,BR,-29.6842,-53.8069,79.9,44,75,8.05,broken clouds
141,Saint-Pierre,RE,-21.3393,55.4781,80.24,78,0,3.44,clear sky
142,College,US,64.8569,-147.8028,-1.71,79,100,3.44,light snow
143,Skjervoy,NO,70.0311,20.9714,32.18,67,96,17.72,overcast clouds
144,Prestea,GH,5.4327,-2.1428,79.88,73,73,6.33,broken clouds
145,Bengkulu,ID,-3.8004,102.2655,76.12,87,100,10.31,light rain
146,Muros,ES,42.7762,-9.0603,52.84,71,44,9.93,scattered clouds
147,Taltal,CL,-25.4,-70.4833,71.13,61,23,5.23,few clouds
148,Qaqortoq,GL,60.7167,-46.0333,7.3,72,100,3.49,overcast clouds
149,Bilma,NE,18.6853,12.9164,64.51,14,0,8.12,clear sky
150,Mar Del Plata,AR,-38.0023,-57.5575,68.09,85,75,3.0,mist
151,Tripoli,LY,32.8752,13.1875,58.96,80,97,10.69,overcast clouds
152,Lompoc,US,34.6391,-120.4579,77.56,39,0,3.44,clear sky
153,Patitirion,GR,39.15,23.8667,51.37,64,4,7.27,clear sky
154,Hofn,IS,64.2539,-15.2082,26.6,67,3,16.91,clear sky
155,Kruisfontein,ZA,-34.0033,24.7314,74.88,57,100,10.94,overcast clouds
156,Harer,ET,9.3094,42.1258,58.87,77,1,9.15,clear sky
157,Tuktoyaktuk,CA,69.4541,-133.0374,-23.8,76,75,17.27,light snow
158,Cidreira,BR,-30.1811,-50.2056,80.22,55,0,11.52,clear sky
159,Ostersund,SE,63.1792,14.6357,21.61,93,100,8.05,overcast clouds
160,Rosarito,MX,32.3333,-117.0333,78.58,23,0,6.73,clear sky
161,Sidi Ali,DZ,36.0998,0.4206,51.3,86,0,10.13,clear sky
162,Suifenhe,CN,44.4,131.1667,-3.15,94,32,5.28,scattered clouds
163,Severo-Kurilsk,RU,50.6789,156.125,29.57,85,100,17.02,light snow
164,Kieta,PG,-6.2167,155.6333,79.34,83,100,7.72,overcast clouds
165,Krasnoselkup,RU,65.7,82.4667,-20.33,100,25,7.74,scattered clouds
166,Visby,SE,57.6409,18.296,37.62,93,40,11.5,scattered clouds
167,New Norfolk,AU,-42.7826,147.0587,52.72,74,4,1.95,clear sky
168,Sabancuy,MX,18.9667,-91.1833,74.97,72,66,6.76,broken clouds
169,Upernavik,GL,72.7868,-56.1549,-13.32,98,100,8.5,overcast clouds
170,Port Antonio,JM,18.18,-76.4612,84.11,63,12,9.42,few clouds
171,Kaitangata,NZ,-46.2817,169.8464,50.94,80,5,0.27,clear sky
172,Westport,US,41.1415,-73.3579,32.29,59,92,1.01,overcast clouds
173,Peace River,CA,56.2501,-117.286,43.11,52,75,46.04,broken clouds
174,Dikson,RU,73.5069,80.5464,-20.13,99,93,10.4,overcast clouds
175,Namibe,AO,-15.1961,12.1522,74.86,69,100,12.57,overcast clouds
176,Ilhabela,BR,-23.7781,-45.3581,79.95,87,100,1.86,overcast clouds
177,Seymchan,RU,62.8833,152.4333,-41.39,100,54,0.34,broken clouds
178,San Juan,AR,-31.5375,-68.5364,82.13,28,0,6.02,clear sky
179,Atambua,ID,-9.1061,124.8925,74.35,86,54,0.94,broken clouds
180,Arlit,NE,18.7369,7.3853,66.96,9,0,5.37,clear sky
181,Mount Gambier,AU,-37.8333,140.7667,58.91,72,0,6.91,clear sky
182,Salalah,OM,17.0151,54.0924,75.29,78,0,3.44,clear sky
183,La Romana,DO,18.4273,-68.9728,80.33,83,75,11.5,broken clouds
184,Honiara,SB,-9.4333,159.95,79.47,87,100,4.76,overcast clouds
185,Pacific Grove,US,36.6177,-121.9166,68.31,49,0,4.0,clear sky
186,Empalme,MX,27.9667,-110.8167,73.35,40,0,0.0,clear sky
187,Tshikapa,CD,-6.4167,20.8,71.8,88,100,0.72,light rain
188,Pemangkat,ID,1.1667,108.9667,76.75,91,98,5.61,overcast clouds
189,San Cristobal,VE,7.7669,-72.225,77.07,57,73,4.09,broken clouds
190,Santa Lucia,ES,27.9117,-15.5407,60.76,76,20,17.27,few clouds
191,Alyangula,AU,-13.8483,136.4192,75.07,100,86,0.0,overcast clouds
192,Victoria,HK,22.2855,114.1577,62.58,80,100,1.01,overcast clouds
193,Zhigansk,RU,66.7697,123.3711,-26.68,99,95,6.38,overcast clouds
194,Chabahar,IR,25.2919,60.643,71.01,68,0,10.2,clear sky
195,Yellowknife,CA,62.456,-114.3525,-3.59,96,100,12.66,light snow
196,Tiksi,RU,71.6872,128.8694,-15.3,99,100,4.25,overcast clouds
197,Castro,BR,-24.7911,-50.0119,74.17,78,47,5.86,light rain
198,Broken Hill,AU,-31.95,141.4333,69.51,43,40,10.36,scattered clouds
199,Vrangel,RU,42.7297,133.0839,13.44,66,3,11.48,clear sky
200,Aklavik,CA,68.2191,-135.0107,-18.4,69,100,17.27,overcast clouds
201,Saint-Joseph,RE,-21.3667,55.6167,79.16,78,99,10.49,overcast clouds
202,Manica,FR,49.0,-1.1667,51.21,87,100,20.92,overcast clouds
203,Ihosy,MG,-22.4,46.1167,68.99,91,100,7.99,overcast clouds
204,Bubaque,GW,11.2833,-15.8333,77.68,71,3,16.37,clear sky
205,Korla,CN,41.7597,86.1469,23.36,47,5,3.94,clear sky
206,Brae,GB,60.3964,-1.353,39.11,56,44,32.06,scattered clouds
207,Tuatapere,NZ,-46.1333,167.6833,48.81,72,3,2.84,clear sky
208,Watsa,CD,3.0372,29.5355,67.84,32,100,1.61,overcast clouds
209,Miri,MY,4.4148,114.0089,75.34,100,40,0.0,scattered clouds
210,Ahvaz,IR,31.3203,48.6693,57.15,47,0,9.22,clear sky
211,Lapy,PL,52.9911,22.8842,38.48,97,100,18.28,overcast clouds
212,Wembley,AU,-31.9333,115.8,66.22,57,40,18.41,scattered clouds
213,Lagoa,PT,39.05,-27.9833,60.24,85,32,12.62,scattered clouds
214,Marsh Harbour,BS,26.5412,-77.0636,74.86,71,73,13.62,broken clouds
215,Denpasar,ID,-8.65,115.2167,78.46,94,40,2.3,scattered clouds
216,Haysyn,UA,48.8114,29.3898,37.09,76,100,8.21,overcast clouds
217,Kogon,UZ,39.7228,64.5517,37.44,87,75,2.3,broken clouds
218,Billings,US,45.7833,-108.5007,48.16,36,20,11.5,few clouds
219,Saskylakh,RU,71.9167,114.0833,-24.97,100,95,2.08,overcast clouds
220,Oum Hadjer,TD,13.2954,19.6966,74.01,13,0,9.89,clear sky
221,Assen,NL,52.9967,6.5625,42.84,74,75,8.01,broken clouds
222,Pangai,TO,-19.8,-174.35,79.59,77,100,23.49,light rain
223,Tessalit,ML,20.1986,1.0114,69.48,10,0,7.05,clear sky
224,Bethanien,NA,-26.502,17.1583,69.55,71,100,14.34,moderate rain
225,Sumbe,AO,-11.2061,13.8437,75.47,79,28,10.02,scattered clouds
226,Rio Gallegos,AR,-51.6226,-69.2181,78.85,31,75,19.57,broken clouds
227,Elat,IL,29.5581,34.9482,57.04,41,0,6.91,clear sky
228,Yumen,CN,40.2833,97.2,12.24,89,16,13.4,few clouds
229,Freeport,US,40.6576,-73.5832,33.31,63,0,4.0,clear sky
230,Oranjemund,NA,-28.55,16.4333,66.83,72,46,5.12,scattered clouds
231,Kalpi,IN,26.1167,79.7333,53.13,63,0,4.41,clear sky
232,Jian,CN,27.1172,114.9793,41.85,94,100,10.45,overcast clouds
233,Laguna,US,38.421,-121.4238,67.84,56,0,1.99,clear sky
