City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
104,Magadan,RU,2022-02-03 23:07:59,59.5667,150.8,1.99,73,33,10.74
105,Chifeng,CN,2022-02-03 23:11:41,42.2683,118.9636,1.38,66,1,7.99
106,Jurado,CO,2022-02-03 23:11:42,7.1053,-77.7641,79.36,82,85,3.51
107,Pochutla,MX,2022-02-03 23:11:42,15.7432,-96.4661,84.02,46,0,7.25
108,Katangli,RU,2022-02-03 23:11:42,51.7102,143.2326,5.47,94,100,16.71
109,Marsa Matruh,EG,2022-02-03 23:11:43,31.3525,27.2453,56.46,70,54,34.05
110,Leshukonskoye,RU,2022-02-03 23:08:44,64.8989,45.7622,-3.6,100,96,2.53
111,Fortuna,US,2022-02-03 23:11:43,40.5982,-124.1573,59.18,70,0,3.0
112,Polunochnoye,RU,2022-02-03 23:11:44,60.8697,60.4153,5.11,99,100,3.04
113,Omsukchan,RU,2022-02-03 23:11:44,62.5333,155.8,-14.53,76,19,7.9
114,Dongsheng,CN,2022-02-03 23:11:45,39.8161,109.9776,5.02,67,0,8.46
115,Bertoua,CM,2022-02-03 23:11:45,4.5833,13.6833,72.14,31,100,4.61
116,Laizhou,CN,2022-02-03 23:11:46,37.1717,119.9214,26.11,64,77,6.35
117,Andenes,NO,2022-02-03 23:11:46,69.3143,16.1194,21.18,63,57,25.32
118,Ouadda,CF,2022-02-03 23:11:46,8.0777,22.4007,69.85,23,55,5.44
119,Portland,US,2022-02-03 23:08:09,45.5234,-122.6762,54.01,82,75,1.01
120,Kasempa,ZM,2022-02-03 23:11:47,-13.4584,25.8338,64.24,96,100,6.13
121,Isangel,VU,2022-02-03 23:11:47,-19.55,169.2667,86.11,79,75,4.61
122,Fare,PF,2022-02-03 23:11:48,-16.7,-151.0167,81.0,70,12,16.26
123,Moen,NO,2022-02-03 23:11:48,69.1304,18.6123,16.52,62,20,19.57
124,Chumikan,RU,2022-02-03 23:11:48,54.7183,135.315,-3.73,78,100,15.32
125,Saint-Alexandre,FR,2022-02-03 23:11:49,44.2278,4.6214,50.27,80,100,0.54
126,Inhambane,MZ,2022-02-03 23:11:49,-23.865,35.3833,77.11,84,0,7.43
127,Pisco,PE,2022-02-03 23:11:49,-13.7,-76.2167,71.65,73,0,21.85
128,Cherskiy,RU,2022-02-03 23:10:16,68.75,161.3,-32.49,100,9,3.58
129,Saskylakh,RU,2022-02-03 23:11:50,71.9167,114.0833,-16.73,97,99,1.1
130,Shimoda,JP,2022-02-03 23:11:50,34.6667,138.95,38.1,61,99,7.25
131,Flinders,AU,2022-02-03 23:09:23,-34.5833,150.8552,68.18,84,83,10.0
132,Molokovo,RU,2022-02-03 23:12:51,58.1661,36.7628,4.69,99,99,4.16
133,Yabrud,SY,2022-02-03 23:12:51,33.9674,36.6574,35.26,74,18,8.14
134,Atherton,GB,2022-02-03 23:12:52,53.5237,-2.4935,52.36,84,92,5.99
135,Malanje,AO,2022-02-03 23:12:52,-9.5402,16.341,64.17,79,100,0.65
136,Longyearbyen,SJ,2022-02-03 23:12:53,78.2186,15.6401,15.64,73,20,2.3
137,Chitral,PK,2022-02-03 23:12:53,35.8462,71.7858,19.35,42,0,12.19
138,Bambous Virieux,MU,2022-02-03 23:12:53,-20.3428,57.7575,80.22,90,100,24.11
139,Rio Pomba,BR,2022-02-03 23:12:54,-21.2747,-43.1792,76.75,95,100,3.71
140,Kabin Buri,TH,2022-02-03 23:12:54,13.9511,101.7177,75.61,72,37,2.59
141,Mnogovershinnyy,RU,2022-02-03 23:12:54,53.9353,139.9242,-3.82,96,100,6.06
142,Anadyr,RU,2022-02-03 23:12:55,64.75,177.4833,14.5,57,70,35.79
143,Verkhniy Baskunchak,RU,2022-02-03 23:12:55,48.2256,46.7217,28.53,93,100,4.07
144,Ahipara,NZ,2022-02-03 23:10:17,-35.1667,173.1667,75.99,74,79,14.88
145,Hobart,AU,2022-02-03 23:12:56,-42.8794,147.3294,67.01,57,75,4.61
146,La Fleche,FR,2022-02-03 23:12:56,47.6982,-0.0755,47.16,96,100,7.0
147,Batagay,RU,2022-02-03 23:08:04,67.6333,134.6333,-36.81,99,97,2.1
148,Russell,US,2022-02-03 23:12:57,32.3502,-85.1999,70.88,80,100,16.11
149,Darnah,LY,2022-02-03 23:12:58,32.767,22.6367,51.66,72,89,26.37
150,Raudeberg,NO,2022-02-03 23:12:58,61.9875,5.1352,44.38,94,100,8.99
151,Sorland,NO,2022-02-03 23:12:58,67.667,12.6934,27.3,67,100,36.64
152,Gat,IL,2022-02-03 23:12:59,31.61,34.7642,55.81,100,5,11.99
153,Terra Nova,BR,2022-02-03 23:11:13,-12.3667,-40.6667,73.15,60,46,2.84
154,Porto Novo,BJ,2022-02-03 23:12:59,6.4965,2.6036,78.53,80,82,6.42
155,North Bend,US,2022-02-03 23:13:00,43.4065,-124.2243,55.17,88,0,12.66
156,Bengkulu,ID,2022-02-03 23:11:26,-3.8004,102.2655,75.96,88,100,4.32
157,Sayyan,YE,2022-02-03 23:13:00,15.1718,44.3244,50.02,32,6,2.62
158,Asyut,EG,2022-02-03 23:11:42,27.181,31.1837,50.7,50,2,8.46
159,San Carlos,VE,2022-02-03 23:13:01,9.6612,-68.5827,84.52,49,65,2.91
160,Zhigansk,RU,2022-02-03 23:13:01,66.7697,123.3711,-31.58,99,99,1.74
161,Lalmohan,BD,2022-02-03 23:13:01,22.3384,90.7419,66.72,75,2,5.28
162,Ambon,ID,2022-02-03 23:13:02,-3.6954,128.1814,81.0,74,98,4.0
163,Belozerskoye,RU,2022-02-03 23:13:02,55.8214,65.5842,24.93,90,100,18.03
164,Charters Towers,AU,2022-02-03 23:13:03,-20.1,146.2667,74.91,90,100,3.2
165,Kerman,IR,2022-02-03 23:13:03,30.2832,57.0788,48.88,15,0,2.17
166,Saint-Pierre,RE,2022-02-03 23:08:58,-21.3393,55.4781,78.44,92,100,20.24
167,Clarence Town,AU,2022-02-03 23:13:04,-32.5833,151.7833,68.14,80,66,8.19
168,Lagoa,PT,2022-02-03 23:13:04,39.05,-27.9833,57.58,73,100,14.0
169,Moindou,NC,2022-02-03 23:13:04,-21.6924,165.677,84.15,77,99,6.38
170,Muravlenko,RU,2022-02-03 23:13:05,63.7898,74.523,17.11,96,100,8.86
171,Arraial Do Cabo,BR,2022-02-03 23:13:05,-22.9661,-42.0278,75.33,91,100,12.48
172,Te Anau,NZ,2022-02-03 23:09:11,-45.4167,167.7167,47.17,97,100,3.98
173,Kichera,RU,2022-02-03 23:13:06,55.9375,110.0997,-5.46,98,92,0.54
174,La Ronge,CA,2022-02-03 23:10:08,55.1001,-105.2842,-7.08,89,62,7.85
175,Bongandanga,CD,2022-02-03 23:13:06,1.5,21.05,68.68,59,86,2.55
176,Emba,KZ,2022-02-03 23:13:07,48.8264,58.1442,21.07,78,100,11.32
177,Codrington,AU,2022-02-03 23:12:50,-38.2667,141.9667,63.27,66,100,13.49
178,Centralina,BR,2022-02-03 23:13:07,-18.5839,-49.1994,73.54,88,90,5.1
179,Nouadhibou,MR,2022-02-03 23:14:08,20.931,-17.0347,66.6,75,0,10.71
180,Tateyama,JP,2022-02-03 23:14:08,34.9833,139.8667,43.11,57,98,9.1
181,Olafsvik,IS,2022-02-03 23:14:08,64.8945,-23.7142,26.19,78,94,29.1
182,Berlevag,NO,2022-02-03 23:14:09,70.8578,29.0864,19.35,73,20,14.97
183,Beyneu,KZ,2022-02-03 23:14:09,45.3167,55.2,35.29,69,75,21.83
184,Fenoarivo Atsinanana,MG,2022-02-03 23:14:10,-17.3667,49.4167,74.46,78,100,6.33
185,Mahebourg,MU,2022-02-03 23:13:57,-20.4081,57.7,80.26,90,100,24.32
186,Palmer,US,2022-02-03 23:10:26,42.1584,-72.3287,43.84,87,100,0.0
187,General Pico,AR,2022-02-03 23:14:10,-35.6566,-63.7568,82.04,50,0,5.84
188,Taksimo,RU,2022-02-03 23:14:11,56.3444,114.8794,-13.07,95,93,1.68
189,Hamilton,US,2022-02-03 23:14:11,39.1834,-84.5333,27.09,92,100,4.0
190,Egvekinot,RU,2022-02-03 23:14:11,66.3167,-179.1667,-8.21,77,2,20.58
191,Rosarito,MX,2022-02-03 23:14:12,32.3333,-117.0333,68.07,25,0,9.89
192,Rrogozhine,AL,2022-02-03 23:14:12,41.0764,19.6653,30.38,61,4,5.12
193,Westport,US,2022-02-03 23:13:56,41.1415,-73.3579,46.54,98,100,4.0
194,Krasnyy Chikoy,RU,2022-02-03 23:14:13,50.3643,108.7512,-10.75,100,100,1.86
195,Formosa,AR,2022-02-03 23:12:57,-26.1775,-58.1781,84.18,70,0,9.22
